timestamp,sensor,celsius,fahrenheit,humidity,pressure,pm10,pm25,pm100,pm25_reported,pm25_avg_15,pm25_avg_60,particles_03um,particles_05um,particles_100um,particles_10um,particles_25um,particles_50um
2023-10-23 20:58:28.844024+00:00,b,24.4,76,47,1000.62,2.34,4.48,5.25,5.18,4.67,4.42,361,337,0,21,0,0
2023-10-23 20:58:28.678422+00:00,a,24.4,76,47,1000.62,2.7,4.77,6.11,5.66,5.18,5.04,399,363,0,32,0,0
2023-10-23 20:56:28.580132+00:00,b,23.9,75,48,1000.73,3.06,4.89,6.6,5.87,4.64,4.38,399,364,0,28,0,0
2023-10-23 20:56:28.401462+00:00,a,23.9,75,48,1000.73,3.41,5.43,7.17,6.76,5.23,5,443,415,0,39,0,0
2023-10-23 20:54:28.477874+00:00,b,23.9,75,48,1000.68,2.82,5.52,7.31,6.91,4.71,4.26,416,386,0,38,0,0
2023-10-23 20:54:28.279135+00:00,a,23.9,75,48,1000.68,3.41,5.73,7.26,7.26,5.3,4.88,445,415,0,37,0,0
2023-10-23 20:52:28.989803+00:00,b,23.9,75,48,1000.68,1.93,4.74,5.63,5.61,4.57,4.15,382,350,0,24,0,0
2023-10-23 20:52:28.820087+00:00,a,23.9,75,48,1000.68,2.8,5.26,6.67,6.48,5.27,4.78,423,385,0,37,0,0
2023-10-23 20:50:37.274763+00:00,b,23.9,75,48,1000.66,1.77,4.57,5.55,5.34,4.56,4.08,359,324,0,32,0,0
2023-10-23 20:50:37.162254+00:00,a,23.9,75,48,1000.66,3,4.86,5.83,5.81,5.28,4.7,414,378,0,20,0,0
2023-10-23 20:48:33.033786+00:00,b,23.9,75,48,1000.74,1.24,4.31,5.04,4.91,4.59,4.06,343,317,0,26,0,0
2023-10-23 20:48:32.939161+00:00,a,23.9,75,48,1000.74,2.4,4.75,5.73,5.64,5.3,4.69,398,372,0,37,0,0
2023-10-23 20:46:35.186035+00:00,b,23.9,75,48,1000.74,1.24,4.31,5.04,4.91,4.68,4.01,343,317,0,26,0,0
2023-10-23 20:46:34.986919+00:00,a,23.9,75,48,1000.74,2.4,4.75,5.73,5.64,5.38,4.64,398,372,0,37,0,0
2023-10-23 20:44:28.977901+00:00,b,23.9,75,48,1000.77,1.44,3.87,4.24,4.18,4.67,3.91,333,299,0,20,0,0
2023-10-23 20:44:28.780372+00:00,a,23.9,75,48,1000.77,2.15,4.97,6.15,6,5.44,4.5,381,353,0,24,0,0
2023-10-23 20:42:29.056886+00:00,b,23.9,75,48,1000.75,1.62,3.96,4.6,4.33,4.74,3.85,348,308,0,20,0,0
2023-10-23 20:42:28.926963+00:00,a,23.9,75,48,1000.75,2.46,4.76,5.72,5.65,5.43,4.48,395,362,0,27,0,0
2023-10-23 20:40:38.131137+00:00,b,23.9,75,49,1000.81,2.6,4.98,6.24,6.02,4.78,3.81,387,357,0,44,0,0
2023-10-23 20:40:38.021290+00:00,a,23.9,75,49,1000.81,2.87,5.78,7.43,7.34,5.48,4.41,411,383,0,42,0,0
2023-10-23 20:38:29.698618+00:00,b,23.9,75,49,1000.81,2.6,4.98,6.24,6.02,4.63,3.72,387,357,0,44,0,0
2023-10-23 20:38:29.579180+00:00,a,23.9,75,49,1000.81,2.87,5.78,7.43,7.34,5.31,4.26,411,383,0,42,0,0
2023-10-23 20:36:29.011694+00:00,b,23.3,74,49,1000.81,2.79,4.77,6.02,5.66,4.55,3.63,373,345,0,38,0,0
2023-10-23 20:36:28.808443+00:00,a,23.3,74,49,1000.81,3.24,5.64,7.36,7.11,5.18,4.15,414,389,0,43,0,0
2023-10-23 20:34:29.340159+00:00,b,23.9,75,49,1000.88,1.86,4.93,6.05,5.93,4.53,3.59,351,328,0,34,0,0
2023-10-23 20:34:29.199990+00:00,a,23.9,75,49,1000.88,1.85,5.1,6.23,6.21,5.04,4.09,385,354,0,24,0,0
